,170.39,167.28,143.44,124.67,139.01,125.83,144.33,151.26,175.51,171.31,161.9,146.92,141.8,140.91,132.8,128.48,170.83,169.61,168.07,154.88,149.33,152.91,152.61,137.09,169.59,183.01,180.44,164.55,152.63,157.77,165.07,149.52,142.73,173.85,182.23,174.58,163.28,164.01,169.2,148.48,134.31,174.07,191.33,168.66,156.89,170.86,184.84,167.02,123.67,140.54,153.69,147.57,144.65,162.24,172.96,169.67,157.51,161.06,133.23,124.41,138.44,142.93,137.13,134.44,SetNumber,93.593,89.581,86.892,89.289,87.814,87.369,85.607,85.63,83.339,84.683,81.734,81.225,84.852,81.868,78.276,81.283,79.022,77.063,78.297,80.507,82.925,84.504,81.379,81.717,75.044,74.58,78.084,76.845,78.794,80.752,80.069,81.097,77.487,77.684,78.752,81.008,81.979,81.407,80.644,81.851,80.868,83.396,81.593,83.65,84.882,86.387,84.198,83.036,76.999,78.213,79.675,82.38,82.86,82.217,82.271,77.157,57.394,65.553,68.725,69.74,70.054,69.422,67.564,64.938
0,160.11,169.3,148.15,139.1,176.19,188.76,173.16,188.12,144.17,138.36,121.62,150.5,182.61,194.99,197.07,161.32,138.14,118.21,109.1,118.59,139.77,168.69,206.65,193.37,151.78,150.22,158.79,133.47,133.58,157.17,189.88,186.68,129.69,134.3,171.69,190.29,175.7,157.92,176.58,168.33,149.37,134.0,159.29,188.03,186.93,171.96,152.06,142.2,190.65,142.28,126.54,146.12,169.67,175.25,160.4,150.94,172.88,168.18,157.03,134.14,150.52,170.91,158.56,167.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,98.34299999999999,102.44,106.4,106.1,109.84,110.13,106.17,106.94,101.78,103.86,109.81,115.24,116.58,116.71,112.8,113.79,103.69,103.34,109.54,112.07,110.62,110.53,107.17,106.98,99.839,105.06,105.56,105.79,109.16,108.45,109.25,108.49,93.74600000000001,96.605,99.361,98.882,102.73,107.61,110.79,110.11,97.559,98.101,98.272,101.75,102.18,102.55,107.63,106.44,103.14,103.01,101.34,100.95,102.36,107.01,108.69,109.2,104.18,102.19,105.69,103.84,105.02,108.98,109.92,107.99
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,133.37,128.61,128.75,132.59,136.47,134.73,131.96,130.55,130.11,127.73,124.16,127.55,134.44,136.09,135.47,136.61,136.08,132.22,124.75,128.49,133.68,136.54,138.55,137.37,130.79,132.04,129.15,132.59,134.58,133.54,133.65,135.92,132.63,133.66,129.82,132.14,132.53,133.36,132.19,132.41,128.16,122.11,116.34,114.53,115.15,115.63,120.86,123.55,128.44,131.79,132.76,134.34,132.21,130.35,131.77,128.34,128.11,129.71,128.44,128.0,128.0,130.28,131.75,129.88
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,101.9,102.72,104.99,106.63,106.27,102.27,100.63,103.15,102.3,101.0,101.66,103.84,104.83,102.52,103.76,100.87,101.68,99.789,99.344,102.43,100.8,100.55,103.33,103.87,94.863,94.81299999999999,99.508,98.936,102.57,101.25,98.552,99.016,101.99,99.789,102.69,106.71,109.75,109.51,104.75,105.08,108.08,108.75,114.05,113.37,116.58,115.14,110.51,110.07,106.43,111.54,109.91,111.11,111.36,115.17,109.65,110.88,102.54,105.51,107.52,107.76,105.62,109.38,106.44,105.81
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,76.899,74.31,73.60600000000001,74.435,75.327,75.905,74.593,74.236,74.3,72.20100000000001,71.468,75.936,76.627,74.208,73.42699999999999,72.581,67.001,67.058,68.042,71.337,72.304,71.079,67.158,64.833,64.7,66.196,64.249,61.191,61.301,60.653,61.048,62.466,64.219,64.419,65.596,65.768,64.14699999999999,63.717,65.063,65.686,55.919,59.898,59.708999999999996,60.82,62.776,62.008,62.413000000000004,58.083999999999996,55.522,59.343999999999994,60.718,59.832,59.091,62.82899999999999,62.571000000000005,61.613,55.398,57.902,58.355,56.768,52.591,53.559,56.438,53.683
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,113.88,111.28,110.06,114.95,117.79,117.33,118.53,116.9,115.17,113.35,113.52,113.74,116.7,116.54,116.31,112.58,110.04,109.77,108.25,108.18,108.31,107.6,104.25,105.15,107.76,108.69,109.57,113.46,112.38,115.19,112.75,113.89,117.65,118.16,120.38,117.78,118.5,117.61,116.83,119.18,115.9,113.69,117.01,117.41,114.5,111.81,111.08,113.7,104.5,105.95,107.55,104.75,101.4,101.98,99.149,101.19,102.08,103.28,108.07,110.69,106.86,107.81,110.29,107.0
6,139.3,103.13,116.26,142.57,169.96,194.42,180.32,144.84,106.03,114.57,132.31,137.89,149.13,173.77,171.44,135.71,133.46,131.23,157.5,144.98,123.0,137.75,141.3,140.76,160.38,177.3,179.69,156.3,122.38,122.01,130.21,135.39,148.67,181.25,181.75,134.72,112.52,131.65,136.55,141.15,134.13,170.71,183.42,135.88,120.54,133.66,131.48,137.52,129.26,153.76,178.7,173.45,149.29,141.69,143.98,127.88,133.02,148.0,179.02,195.01,177.99,156.09,160.77,135.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,119.08,120.12,121.56,122.22,119.87,120.74,120.9,118.55,122.88,122.73,123.12,123.25,125.38,126.1,125.4,123.8,118.22,119.92,119.45,120.72,122.2,119.22,120.31,120.49,101.26,99.906,99.198,100.9,102.07,103.18,105.53,103.89,105.28,104.0,105.59,114.32,113.67,105.76,100.47,98.934,117.98,118.2,118.12,120.76,119.99,116.78,111.54,109.0,123.37,123.73,126.1,121.71,120.78,122.05,115.09,110.5,126.74,127.03,128.22,125.62,122.95,123.45,124.2,123.3
8,157.6,144.85,158.34,159.17,161.66,154.57,140.86,138.7,156.84,154.73,147.16,144.95,173.9,204.87,196.17,167.93,143.51,155.15,140.03,127.42,152.29,188.83,196.05,176.38,148.41,127.56,114.02,112.85,136.1,170.49,186.87,170.29,160.11,134.9,139.64,130.97,131.57,164.48,191.33,182.99,158.61,133.66,163.84,155.85,137.78,164.88,175.75,170.53,182.85,144.28,132.8,129.24,141.64,174.71,165.91,143.98,149.7,151.74,141.3,117.47,133.79,168.27,164.48,156.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
