Region,County,State,party,vote.count
45001,Abbeville,South Carolina,Democrats,3741
45001,Abbeville,South Carolina,Others,271
45001,Abbeville,South Carolina,Republican,6763
22001,Acadia,Louisiana,Democrats,5638
22001,Acadia,Louisiana,Others,589
22001,Acadia,Louisiana,Republican,21162
51001,Accomack,Virginia,Democrats,6740
51001,Accomack,Virginia,Others,495
51001,Accomack,Virginia,Republican,8583
16001,Ada,Idaho,Democrats,75677
16001,Ada,Idaho,Others,26240
16001,Ada,Idaho,Republican,93752
19001,Adair,Iowa,Democrats,1133
19001,Adair,Iowa,Others,217
19001,Adair,Iowa,Republican,2461
21001,Adair,Kentucky,Democrats,1323
21001,Adair,Kentucky,Others,273
21001,Adair,Kentucky,Republican,6637
29001,Adair,Missouri,Democrats,3495
29001,Adair,Missouri,Others,696
29001,Adair,Missouri,Republican,6019
40001,Adair,Oklahoma,Democrats,1382
40001,Adair,Oklahoma,Others,344
40001,Adair,Oklahoma,Republican,4787
8001,Adams,Colorado,Democrats,96558
8001,Adams,Colorado,Others,17025
8001,Adams,Colorado,Republican,80082
16003,Adams,Idaho,Democrats,415
16003,Adams,Idaho,Others,212
16003,Adams,Idaho,Republican,1556
17001,Adams,Illinois,Democrats,7676
17001,Adams,Illinois,Others,1844
17001,Adams,Illinois,Republican,22790
18001,Adams,Indiana,Democrats,2805
18001,Adams,Indiana,Others,635
18001,Adams,Indiana,Republican,9648
19003,Adams,Iowa,Democrats,565
19003,Adams,Iowa,Others,146
19003,Adams,Iowa,Republican,1395
28001,Adams,Mississippi,Democrats,7757
28001,Adams,Mississippi,Others,205
28001,Adams,Mississippi,Republican,5874
31001,Adams,Nebraska,Democrats,3302
31001,Adams,Nebraska,Others,705
31001,Adams,Nebraska,Republican,9287
38001,Adams,North Dakota,Democrats,216
38001,Adams,North Dakota,Others,93
38001,Adams,North Dakota,Republican,909
39001,Adams,Ohio,Democrats,2326
39001,Adams,Ohio,Others,427
39001,Adams,Ohio,Republican,8659
42001,Adams,Pennsylvania,Democrats,14219
42001,Adams,Pennsylvania,Others,2337
42001,Adams,Pennsylvania,Republican,31423
53001,Adams,Washington,Democrats,1299
53001,Adams,Washington,Others,372
53001,Adams,Washington,Republican,3083
55001,Adams,Wisconsin,Democrats,3770
55001,Adams,Wisconsin,Others,411
55001,Adams,Wisconsin,Republican,5983
50001,Addison,Vermont,Democrats,11219
50001,Addison,Vermont,Others,2515
50001,Addison,Vermont,Republican,5297
45003,Aiken,South Carolina,Democrats,25455
45003,Aiken,South Carolina,Others,3371
45003,Aiken,South Carolina,Republican,46025
27001,Aitkin,Minnesota,Democrats,3134
27001,Aitkin,Minnesota,Others,581
27001,Aitkin,Minnesota,Republican,5516
12001,Alachua,Florida,Democrats,75820
12001,Alachua,Florida,Others,7446
12001,Alachua,Florida,Republican,46834
37001,Alamance,North Carolina,Democrats,29818
37001,Alamance,North Carolina,Others,2507
37001,Alamance,North Carolina,Republican,38802
6001,Alameda,California,Democrats,514842
6001,Alameda,California,Others,48779
6001,Alameda,California,Republican,95922
8003,Alamosa,Colorado,Democrats,3189
8003,Alamosa,Colorado,Others,704
8003,Alamosa,Colorado,Republican,3046
36001,Albany,New York,Democrats,74775
36001,Albany,New York,Others,8102
36001,Albany,New York,Republican,44227
56001,Albany,Wyoming,Democrats,6890
56001,Albany,Wyoming,Others,2568
56001,Albany,Wyoming,Republican,7602
51003,Albemarle,Virginia,Democrats,33345
51003,Albemarle,Virginia,Others,4122
51003,Albemarle,Virginia,Republican,19259
26001,Alcona,Michigan,Democrats,1732
26001,Alcona,Michigan,Others,265
26001,Alcona,Michigan,Republican,4201
28003,Alcorn,Mississippi,Democrats,2684
28003,Alcorn,Mississippi,Others,280
28003,Alcorn,Mississippi,Republican,11819
37003,Alexander,North Carolina,Democrats,3767
37003,Alexander,North Carolina,Others,611
37003,Alexander,North Carolina,Republican,13892
51510,Alexandria,Virginia,Democrats,57242
51510,Alexandria,Virginia,Others,5235
51510,Alexandria,Virginia,Republican,13285
40003,Alfalfa,Oklahoma,Democrats,216
40003,Alfalfa,Oklahoma,Others,109
40003,Alfalfa,Oklahoma,Republican,1933
26003,Alger,Michigan,Democrats,1663
26003,Alger,Michigan,Others,270
26003,Alger,Michigan,Republican,2585
19005,Allamakee,Iowa,Democrats,2421
19005,Allamakee,Iowa,Others,409
19005,Allamakee,Iowa,Republican,4093
26005,Allegan,Michigan,Democrats,18050
26005,Allegan,Michigan,Others,3553
26005,Allegan,Michigan,Republican,34183
24001,Allegany,Maryland,Democrats,7875
24001,Allegany,Maryland,Others,1503
24001,Allegany,Maryland,Republican,21270
36003,Allegany,New York,Democrats,4473
36003,Allegany,New York,Others,1169
36003,Allegany,New York,Republican,11712
37005,Alleghany,North Carolina,Democrats,1306
37005,Alleghany,North Carolina,Others,195
37005,Alleghany,North Carolina,Republican,3814
51005,Alleghany,Virginia,Democrats,2166
51005,Alleghany,Virginia,Others,285
51005,Alleghany,Virginia,Republican,4874
42003,Allegheny,Pennsylvania,Democrats,367617
42003,Allegheny,Pennsylvania,Others,30092
42003,Allegheny,Pennsylvania,Republican,259480
18003,Allen,Indiana,Democrats,55382
18003,Allen,Indiana,Others,7812
18003,Allen,Indiana,Republican,83930
20001,Allen,Kansas,Democrats,1398
20001,Allen,Kansas,Others,341
20001,Allen,Kansas,Republican,3575
21003,Allen,Kentucky,Democrats,1349
21003,Allen,Kentucky,Others,281
21003,Allen,Kentucky,Republican,6466
22003,Allen,Louisiana,Democrats,2106
22003,Allen,Louisiana,Others,272
22003,Allen,Louisiana,Republican,6867
39003,Allen,Ohio,Democrats,13294
39003,Allen,Ohio,Others,2453
39003,Allen,Ohio,Republican,30487
45005,Allendale,South Carolina,Democrats,2735
45005,Allendale,South Carolina,Others,68
45005,Allendale,South Carolina,Republican,789
26007,Alpena,Michigan,Democrats,4877
26007,Alpena,Michigan,Others,731
26007,Alpena,Michigan,Republican,9090
6003,Alpine,California,Democrats,318
6003,Alpine,California,Others,48
6003,Alpine,California,Republican,211
6005,Amador,California,Democrats,6289
6005,Amador,California,Others,1519
6005,Amador,California,Republican,10973
51007,Amelia,Virginia,Democrats,2128
51007,Amelia,Virginia,Others,204
51007,Amelia,Virginia,Republican,4708
51009,Amherst,Virginia,Democrats,5057
51009,Amherst,Virginia,Others,620
51009,Amherst,Virginia,Republican,9719
28005,Amite,Mississippi,Democrats,2697
28005,Amite,Mississippi,Others,64
28005,Amite,Mississippi,Republican,4289
20003,Anderson,Kansas,Democrats,665
20003,Anderson,Kansas,Others,226
20003,Anderson,Kansas,Republican,2386
21005,Anderson,Kentucky,Democrats,2634
21005,Anderson,Kentucky,Others,546
21005,Anderson,Kentucky,Republican,8242
45007,Anderson,South Carolina,Democrats,21097
45007,Anderson,South Carolina,Others,3154
45007,Anderson,South Carolina,Republican,56232
47001,Anderson,Tennessee,Democrats,9010
47001,Anderson,Tennessee,Others,1512
47001,Anderson,Tennessee,Republican,19201
48001,Anderson,Texas,Democrats,3369
48001,Anderson,Texas,Others,407
48001,Anderson,Texas,Republican,13201
29003,Andrew,Missouri,Democrats,2045
29003,Andrew,Missouri,Others,430
29003,Andrew,Missouri,Republican,6665
48003,Andrews,Texas,Democrats,836
48003,Andrews,Texas,Others,180
48003,Andrews,Texas,Republican,3927
23001,Androscoggin,Maine,Democrats,22975
23001,Androscoggin,Maine,Others,4176
23001,Androscoggin,Maine,Republican,28189
48005,Angelina,Texas,Democrats,7538
48005,Angelina,Texas,Others,705
48005,Angelina,Texas,Republican,21668
24003,Anne Arundel,Maryland,Democrats,128419
24003,Anne Arundel,Maryland,Others,19157
24003,Anne Arundel,Maryland,Republican,122403
27003,Anoka,Minnesota,Democrats,75500
27003,Anoka,Minnesota,Others,16919
27003,Anoka,Minnesota,Republican,93339
37007,Anson,North Carolina,Democrats,5859
37007,Anson,North Carolina,Others,180
37007,Anson,North Carolina,Republican,4506
31003,Antelope,Nebraska,Democrats,383
31003,Antelope,Nebraska,Others,124
31003,Antelope,Nebraska,Republican,2732
26009,Antrim,Michigan,Democrats,4448
26009,Antrim,Michigan,Others,665
26009,Antrim,Michigan,Republican,8469
4001,Apache,Arizona,Democrats,17083
4001,Apache,Arizona,Others,2338
4001,Apache,Arizona,Republican,8240
19007,Appanoose,Iowa,Democrats,1814
19007,Appanoose,Iowa,Others,289
19007,Appanoose,Iowa,Republican,4033
13001,Appling,Georgia,Democrats,1434
13001,Appling,Georgia,Others,84
13001,Appling,Georgia,Republican,5494
51011,Appomattox,Virginia,Democrats,2023
51011,Appomattox,Virginia,Others,259
51011,Appomattox,Virginia,Republican,5715
48007,Aransas,Texas,Democrats,2465
48007,Aransas,Texas,Others,307
48007,Aransas,Texas,Republican,7740
8005,Arapahoe,Colorado,Democrats,159885
8005,Arapahoe,Colorado,Others,26108
8005,Arapahoe,Colorado,Republican,117053
48009,Archer,Texas,Democrats,394
48009,Archer,Texas,Others,103
48009,Archer,Texas,Republican,3786
8007,Archuleta,Colorado,Democrats,2500
8007,Archuleta,Colorado,Others,575
8007,Archuleta,Colorado,Republican,4264
26011,Arenac,Michigan,Democrats,2384
26011,Arenac,Michigan,Others,362
26011,Arenac,Michigan,Republican,4950
5001,Arkansas,Arkansas,Democrats,1939
5001,Arkansas,Arkansas,Others,447
5001,Arkansas,Arkansas,Republican,3826
51013,Arlington,Virginia,Democrats,92016
51013,Arlington,Virginia,Others,9137
51013,Arlington,Virginia,Republican,20186
42005,Armstrong,Pennsylvania,Democrats,7178
42005,Armstrong,Pennsylvania,Others,956
42005,Armstrong,Pennsylvania,Republican,23484
48011,Armstrong,Texas,Democrats,70
48011,Armstrong,Texas,Others,27
48011,Armstrong,Texas,Republican,924
23003,Aroostook,Maine,Democrats,13377
23003,Aroostook,Maine,Others,2167
23003,Aroostook,Maine,Republican,19419
31005,Arthur,Nebraska,Democrats,17
31005,Arthur,Nebraska,Others,11
31005,Arthur,Nebraska,Republican,244
22005,Ascension,Louisiana,Democrats,16476
22005,Ascension,Louisiana,Others,2059
22005,Ascension,Louisiana,Republican,36143
37009,Ashe,North Carolina,Democrats,3500
37009,Ashe,North Carolina,Others,512
37009,Ashe,North Carolina,Republican,9413
39005,Ashland,Ohio,Democrats,5740
39005,Ashland,Ohio,Others,1504
39005,Ashland,Ohio,Republican,17493
55003,Ashland,Wisconsin,Democrats,4228
55003,Ashland,Wisconsin,Others,499
55003,Ashland,Wisconsin,Republican,3302
5003,Ashley,Arkansas,Democrats,2408
5003,Ashley,Arkansas,Others,337
5003,Ashley,Arkansas,Republican,5338
39007,Ashtabula,Ohio,Democrats,15577
39007,Ashtabula,Ohio,Others,2285
39007,Ashtabula,Ohio,Republican,23318
53003,Asotin,Washington,Democrats,3134
53003,Asotin,Washington,Others,1098
53003,Asotin,Washington,Republican,5741
22007,Assumption,Louisiana,Democrats,3931
22007,Assumption,Louisiana,Others,259
22007,Assumption,Louisiana,Republican,6714
48013,Atascosa,Texas,Democrats,4651
48013,Atascosa,Texas,Others,404
48013,Atascosa,Texas,Republican,8618
20005,Atchison,Kansas,Democrats,1946
20005,Atchison,Kansas,Others,470
20005,Atchison,Kansas,Republican,3977
29005,Atchison,Missouri,Democrats,541
29005,Atchison,Missouri,Others,129
29005,Atchison,Missouri,Republican,2059
39009,Athens,Ohio,Democrats,16370
39009,Athens,Ohio,Others,1985
39009,Athens,Ohio,Republican,11354
13003,Atkinson,Georgia,Democrats,697
13003,Atkinson,Georgia,Others,35
13003,Atkinson,Georgia,Republican,1878
34001,Atlantic,New Jersey,Democrats,60924
34001,Atlantic,New Jersey,Others,4427
34001,Atlantic,New Jersey,Republican,52690
40005,Atoka,Oklahoma,Democrats,795
40005,Atoka,Oklahoma,Others,139
40005,Atoka,Oklahoma,Republican,4084
28007,Attala,Mississippi,Democrats,3242
28007,Attala,Mississippi,Others,117
28007,Attala,Mississippi,Republican,4897
29007,Audrain,Missouri,Democrats,2567
29007,Audrain,Missouri,Others,510
29007,Audrain,Missouri,Republican,6981
19009,Audubon,Iowa,Democrats,1080
19009,Audubon,Iowa,Others,196
19009,Audubon,Iowa,Republican,2136
39011,Auglaize,Ohio,Democrats,3980
39011,Auglaize,Ohio,Others,1214
39011,Auglaize,Ohio,Republican,18658
51015,Augusta,Virginia,Democrats,8177
51015,Augusta,Virginia,Others,2003
51015,Augusta,Virginia,Republican,26163
46003,Aurora,South Dakota,Democrats,340
46003,Aurora,South Dakota,Others,93
46003,Aurora,South Dakota,Republican,974
48015,Austin,Texas,Democrats,2320
48015,Austin,Texas,Others,317
48015,Austin,Texas,Republican,9637
1001,Autauga,Alabama,Democrats,5936
1001,Autauga,Alabama,Others,865
1001,Autauga,Alabama,Republican,18172
37011,Avery,North Carolina,Democrats,1689
37011,Avery,North Carolina,Others,262
37011,Avery,North Carolina,Republican,6298
22009,Avoyelles,Louisiana,Democrats,5035
22009,Avoyelles,Louisiana,Others,386
22009,Avoyelles,Louisiana,Republican,11165
8009,Baca,Colorado,Democrats,283
8009,Baca,Colorado,Others,117
8009,Baca,Colorado,Republican,1753
13005,Bacon,Georgia,Democrats,608
13005,Bacon,Georgia,Others,48
13005,Bacon,Georgia,Republican,3364
48017,Bailey,Texas,Democrats,397
48017,Bailey,Texas,Others,52
48017,Bailey,Texas,Republican,1344
12003,Baker,Florida,Democrats,2112
12003,Baker,Florida,Others,299
12003,Baker,Florida,Republican,10294
13007,Baker,Georgia,Democrats,650
13007,Baker,Georgia,Others,15
13007,Baker,Georgia,Republican,775
41001,Baker,Oregon,Democrats,1797
41001,Baker,Oregon,Others,764
41001,Baker,Oregon,Republican,6218
1003,Baldwin,Alabama,Democrats,18458
1003,Baldwin,Alabama,Others,3874
1003,Baldwin,Alabama,Republican,72883
13009,Baldwin,Georgia,Democrats,7970
13009,Baldwin,Georgia,Others,449
13009,Baldwin,Georgia,Republican,7697
21007,Ballard,Kentucky,Democrats,816
21007,Ballard,Kentucky,Others,124
21007,Ballard,Kentucky,Republican,3161
24005,Baltimore,Maryland,Democrats,218412
24005,Baltimore,Maryland,Others,22716
24005,Baltimore,Maryland,Republican,149477
24510,Baltimore City,Maryland,Democrats,202673
24510,Baltimore City,Maryland,Others,11542
24510,Baltimore City,Maryland,Republican,25205
45009,Bamberg,South Carolina,Democrats,3898
45009,Bamberg,South Carolina,Others,112
45009,Bamberg,South Carolina,Republican,2204
48019,Bandera,Texas,Democrats,1726
48019,Bandera,Texas,Others,329
48019,Bandera,Texas,Republican,8163
13011,Banks,Georgia,Democrats,684
13011,Banks,Georgia,Others,157
13011,Banks,Georgia,Republican,6134
31007,Banner,Nebraska,Democrats,19
31007,Banner,Nebraska,Others,17
31007,Banner,Nebraska,Republican,357
16005,Bannock,Idaho,Democrats,10342
16005,Bannock,Idaho,Others,5894
16005,Bannock,Idaho,Republican,17180
26013,Baraga,Michigan,Democrats,1156
26013,Baraga,Michigan,Others,176
26013,Baraga,Michigan,Republican,2158
20007,Barber,Kansas,Democrats,281
20007,Barber,Kansas,Others,106
20007,Barber,Kansas,Republican,1822
1005,Barbour,Alabama,Democrats,4871
1005,Barbour,Alabama,Others,144
1005,Barbour,Alabama,Republican,5454
54001,Barbour,West Virginia,Democrats,1222
54001,Barbour,West Virginia,Others,367
54001,Barbour,West Virginia,Republican,4527
38003,Barnes,North Dakota,Democrats,1597
38003,Barnes,North Dakota,Others,587
38003,Barnes,North Dakota,Republican,3160
25001,Barnstable,Massachusetts,Democrats,71632
25001,Barnstable,Massachusetts,Others,7193
25001,Barnstable,Massachusetts,Republican,53842
45011,Barnwell,South Carolina,Democrats,4400
45011,Barnwell,South Carolina,Others,196
45011,Barnwell,South Carolina,Republican,4889
21009,Barren,Kentucky,Democrats,4275
21009,Barren,Kentucky,Others,730
21009,Barren,Kentucky,Republican,13483
55005,Barron,Wisconsin,Democrats,7879
55005,Barron,Wisconsin,Others,1158
55005,Barron,Wisconsin,Republican,13606
13013,Barrow,Georgia,Democrats,6580
13013,Barrow,Georgia,Others,1373
13013,Barrow,Georgia,Republican,21108
26015,Barry,Michigan,Democrats,9114
26015,Barry,Michigan,Others,2013
26015,Barry,Michigan,Republican,19202
29009,Barry,Missouri,Democrats,2710
29009,Barry,Missouri,Others,467
29009,Barry,Missouri,Republican,11427
18005,Bartholomew,Indiana,Democrats,9841
18005,Bartholomew,Indiana,Others,2004
18005,Bartholomew,Indiana,Republican,20640
20009,Barton,Kansas,Democrats,1823
20009,Barton,Kansas,Others,499
20009,Barton,Kansas,Republican,7766
29011,Barton,Missouri,Democrats,795
29011,Barton,Missouri,Others,179
29011,Barton,Missouri,Republican,4958
13015,Bartow,Georgia,Democrats,8212
13015,Bartow,Georgia,Others,1427
13015,Bartow,Georgia,Republican,29911
48021,Bastrop,Texas,Democrats,10569
48021,Bastrop,Texas,Others,1557
48021,Bastrop,Texas,Republican,16328
29013,Bates,Missouri,Democrats,1617
29013,Bates,Missouri,Others,404
29013,Bates,Missouri,Republican,6000
21011,Bath,Kentucky,Democrats,1361
21011,Bath,Kentucky,Others,144
21011,Bath,Kentucky,Republican,3082
51017,Bath,Virginia,Democrats,603
51017,Bath,Virginia,Others,102
51017,Bath,Virginia,Republican,1548
5005,Baxter,Arkansas,Democrats,4169
5005,Baxter,Arkansas,Others,915
5005,Baxter,Arkansas,Republican,14682
12005,Bay,Florida,Democrats,21797
12005,Bay,Florida,Others,4231
12005,Bay,Florida,Republican,62194
26017,Bay,Michigan,Democrats,21642
26017,Bay,Michigan,Others,3007
26017,Bay,Michigan,Republican,28328
55007,Bayfield,Wisconsin,Democrats,4954
55007,Bayfield,Wisconsin,Others,450
55007,Bayfield,Wisconsin,Republican,4125
48023,Baylor,Texas,Democrats,191
48023,Baylor,Texas,Others,41
48023,Baylor,Texas,Republican,1267
46005,Beadle,South Dakota,Democrats,1912
46005,Beadle,South Dakota,Others,405
46005,Beadle,South Dakota,Republican,4455
16007,Bear Lake,Idaho,Democrats,255
16007,Bear Lake,Idaho,Others,470
16007,Bear Lake,Idaho,Republican,2203
37013,Beaufort,North Carolina,Democrats,8764
37013,Beaufort,North Carolina,Others,631
37013,Beaufort,North Carolina,Republican,14543
45013,Beaufort,South Carolina,Democrats,32138
45013,Beaufort,South Carolina,Others,3464
45013,Beaufort,South Carolina,Republican,42922
22011,Beauregard,Louisiana,Democrats,2393
22011,Beauregard,Louisiana,Others,447
22011,Beauregard,Louisiana,Republican,12238
40007,Beaver,Oklahoma,Democrats,176
40007,Beaver,Oklahoma,Others,74
40007,Beaver,Oklahoma,Republican,1993
42007,Beaver,Pennsylvania,Democrats,32369
42007,Beaver,Pennsylvania,Others,3735
42007,Beaver,Pennsylvania,Republican,48016
49001,Beaver,Utah,Democrats,264
49001,Beaver,Utah,Others,389
49001,Beaver,Utah,Republican,1838
30001,Beaverhead,Montana,Democrats,1143
30001,Beaverhead,Montana,Others,353
30001,Beaverhead,Montana,Republican,3353
27005,Becker,Minnesota,Democrats,5208
27005,Becker,Minnesota,Others,1134
27005,Becker,Minnesota,Republican,10880
40009,Beckham,Oklahoma,Democrats,960
40009,Beckham,Oklahoma,Others,284
40009,Beckham,Oklahoma,Republican,6308
42009,Bedford,Pennsylvania,Democrats,3645
42009,Bedford,Pennsylvania,Others,440
42009,Bedford,Pennsylvania,Republican,19552
47003,Bedford,Tennessee,Democrats,3384
47003,Bedford,Tennessee,Others,461
47003,Bedford,Tennessee,Republican,11455
51019,Bedford,Virginia,Democrats,9768
51019,Bedford,Virginia,Others,2098
51019,Bedford,Virginia,Republican,30659
51515,Bedford,Virginia,Democrats,9768
51515,Bedford,Virginia,Others,2098
51515,Bedford,Virginia,Republican,30659
48025,Bee,Texas,Democrats,3444
48025,Bee,Texas,Others,297
48025,Bee,Texas,Republican,4744
33001,Belknap,New Hampshire,Democrats,13517
33001,Belknap,New Hampshire,Others,2213
33001,Belknap,New Hampshire,Republican,19315
21013,Bell,Kentucky,Democrats,1720
21013,Bell,Kentucky,Others,234
21013,Bell,Kentucky,Republican,7764
48027,Bell,Texas,Democrats,37801
48027,Bell,Texas,Others,5195
48027,Bell,Texas,Republican,51998
39013,Belmont,Ohio,Democrats,8785
39013,Belmont,Ohio,Others,1438
39013,Belmont,Ohio,Republican,21108
27007,Beltrami,Minnesota,Democrats,8688
27007,Beltrami,Minnesota,Others,2093
27007,Beltrami,Minnesota,Republican,10783
13017,Ben Hill,Georgia,Democrats,2101
13017,Ben Hill,Georgia,Others,96
13017,Ben Hill,Georgia,Republican,3739
16009,Benewah,Idaho,Democrats,770
16009,Benewah,Idaho,Others,312
16009,Benewah,Idaho,Republican,3103
46007,Bennett,South Dakota,Democrats,412
46007,Bennett,South Dakota,Others,71
46007,Bennett,South Dakota,Republican,666
50003,Bennington,Vermont,Democrats,9539
50003,Bennington,Vermont,Others,1917
50003,Bennington,Vermont,Republican,5925
38005,Benson,North Dakota,Democrats,842
38005,Benson,North Dakota,Others,240
38005,Benson,North Dakota,Republican,929
8011,Bent,Colorado,Democrats,590
8011,Bent,Colorado,Others,149
8011,Bent,Colorado,Republican,1188
5007,Benton,Arkansas,Democrats,28005
5007,Benton,Arkansas,Others,7948
5007,Benton,Arkansas,Republican,60871
18007,Benton,Indiana,Democrats,860
18007,Benton,Indiana,Others,227
18007,Benton,Indiana,Republican,2579
19011,Benton,Iowa,Democrats,4678
19011,Benton,Iowa,Others,934
19011,Benton,Iowa,Republican,8232
27009,Benton,Minnesota,Democrats,5640
27009,Benton,Minnesota,Others,1546
27009,Benton,Minnesota,Republican,12872
28009,Benton,Mississippi,Democrats,1719
28009,Benton,Mississippi,Others,52
28009,Benton,Mississippi,Republican,2251
29015,Benton,Missouri,Democrats,2024
29015,Benton,Missouri,Others,348
29015,Benton,Missouri,Republican,7212
41003,Benton,Oregon,Democrats,29193
41003,Benton,Oregon,Others,6115
41003,Benton,Oregon,Republican,13445
47005,Benton,Tennessee,Democrats,1474
47005,Benton,Tennessee,Others,133
47005,Benton,Tennessee,Republican,4715
53005,Benton,Washington,Democrats,26360
53005,Benton,Washington,Others,9377
53005,Benton,Washington,Republican,47194
26019,Benzie,Michigan,Democrats,4108
26019,Benzie,Michigan,Others,581
26019,Benzie,Michigan,Republican,5539
34003,Bergen,New Jersey,Democrats,231211
34003,Bergen,New Jersey,Others,15473
34003,Bergen,New Jersey,Republican,175529
45015,Berkeley,South Carolina,Democrats,30705
45015,Berkeley,South Carolina,Others,4225
45015,Berkeley,South Carolina,Republican,44587
54003,Berkeley,West Virginia,Democrats,12321
54003,Berkeley,West Virginia,Others,2799
54003,Berkeley,West Virginia,Republican,28244
42011,Berks,Pennsylvania,Democrats,78437
42011,Berks,Pennsylvania,Others,9022
42011,Berks,Pennsylvania,Republican,96626
25003,Berkshire,Massachusetts,Democrats,43540
25003,Berkshire,Massachusetts,Others,4168
25003,Berkshire,Massachusetts,Republican,16799
35001,Bernalillo,New Mexico,Democrats,143417
35001,Bernalillo,New Mexico,Others,36547
35001,Bernalillo,New Mexico,Republican,94698
13019,Berrien,Georgia,Democrats,1047
13019,Berrien,Georgia,Others,121
13019,Berrien,Georgia,Republican,5422
26021,Berrien,Michigan,Democrats,29495
26021,Berrien,Michigan,Others,3888
26021,Berrien,Michigan,Republican,38647
37015,Bertie,North Carolina,Democrats,5778
37015,Bertie,North Carolina,Others,113
37015,Bertie,North Carolina,Republican,3456
48029,Bexar,Texas,Democrats,319550
48029,Bexar,Texas,Others,29762
48029,Bexar,Texas,Republican,240333
1007,Bibb,Alabama,Democrats,1874
1007,Bibb,Alabama,Others,207
1007,Bibb,Alabama,Republican,6738
13021,Bibb,Georgia,Democrats,36787
13021,Bibb,Georgia,Others,1766
13021,Bibb,Georgia,Republican,24043
22013,Bienville,Louisiana,Democrats,3129
22013,Bienville,Louisiana,Others,120
22013,Bienville,Louisiana,Republican,3756
30003,Big Horn,Montana,Democrats,2094
30003,Big Horn,Montana,Others,277
30003,Big Horn,Montana,Republican,1853
56003,Big Horn,Wyoming,Democrats,604
56003,Big Horn,Wyoming,Others,646
56003,Big Horn,Wyoming,Republican,4067
27011,Big Stone,Minnesota,Democrats,921
27011,Big Stone,Minnesota,Others,226
27011,Big Stone,Minnesota,Republican,1608
38007,Billings,North Dakota,Democrats,59
38007,Billings,North Dakota,Others,51
38007,Billings,North Dakota,Republican,495
16011,Bingham,Idaho,Democrats,2924
16011,Bingham,Idaho,Others,2794
16011,Bingham,Idaho,Republican,10907
19013,Black Hawk,Iowa,Democrats,32233
19013,Black Hawk,Iowa,Others,4696
19013,Black Hawk,Iowa,Republican,27476
18009,Blackford,Indiana,Democrats,1243
18009,Blackford,Indiana,Others,245
18009,Blackford,Indiana,Republican,3350
37017,Bladen,North Carolina,Democrats,7058
37017,Bladen,North Carolina,Others,289
37017,Bladen,North Carolina,Republican,8550
16013,Blaine,Idaho,Democrats,6416
16013,Blaine,Idaho,Others,968
16013,Blaine,Idaho,Republican,3340
30005,Blaine,Montana,Democrats,1202
30005,Blaine,Montana,Others,201
30005,Blaine,Montana,Republican,1268
31009,Blaine,Nebraska,Democrats,30
31009,Blaine,Nebraska,Others,10
31009,Blaine,Nebraska,Republican,276
40011,Blaine,Oklahoma,Democrats,711
40011,Blaine,Oklahoma,Others,198
40011,Blaine,Oklahoma,Republican,2884
42013,Blair,Pennsylvania,Democrats,13093
42013,Blair,Pennsylvania,Others,1712
42013,Blair,Pennsylvania,Republican,37224
48031,Blanco,Texas,Democrats,1244
48031,Blanco,Texas,Others,229
48031,Blanco,Texas,Republican,4212
51021,Bland,Virginia,Democrats,453
51021,Bland,Virginia,Others,113
51021,Bland,Virginia,Republican,2573
13023,Bleckley,Georgia,Democrats,1101
13023,Bleckley,Georgia,Others,154
13023,Bleckley,Georgia,Republican,3719
47007,Bledsoe,Tennessee,Democrats,896
47007,Bledsoe,Tennessee,Others,133
47007,Bledsoe,Tennessee,Republican,3621
1009,Blount,Alabama,Democrats,2156
1009,Blount,Alabama,Others,573
1009,Blount,Alabama,Republican,22859
47009,Blount,Tennessee,Democrats,12085
47009,Blount,Tennessee,Others,2379
47009,Blount,Tennessee,Republican,37385
27013,Blue Earth,Minnesota,Democrats,14428
27013,Blue Earth,Minnesota,Others,3498
27013,Blue Earth,Minnesota,Republican,15667
16015,Boise,Idaho,Democrats,777
16015,Boise,Idaho,Others,364
16015,Boise,Idaho,Republican,2673
28011,Bolivar,Mississippi,Democrats,9046
28011,Bolivar,Mississippi,Others,188
28011,Bolivar,Mississippi,Republican,4590
29017,Bollinger,Missouri,Democrats,705
29017,Bollinger,Missouri,Others,137
29017,Bollinger,Missouri,Republican,4827
46009,Bon Homme,South Dakota,Democrats,704
46009,Bon Homme,South Dakota,Others,165
46009,Bon Homme,South Dakota,Republican,2105
17005,Bond,Illinois,Democrats,2066
17005,Bond,Illinois,Others,512
17005,Bond,Illinois,Republican,4884
16017,Bonner,Idaho,Democrats,5819
16017,Bonner,Idaho,Others,1781
16017,Bonner,Idaho,Republican,13343
16019,Bonneville,Idaho,Democrats,8930
16019,Bonneville,Idaho,Others,8592
16019,Bonneville,Idaho,Republican,26699
5009,Boone,Arkansas,Democrats,2926
5009,Boone,Arkansas,Others,950
5009,Boone,Arkansas,Republican,12235
17007,Boone,Illinois,Democrats,8952
17007,Boone,Illinois,Others,1723
17007,Boone,Illinois,Republican,12261
18011,Boone,Indiana,Democrats,10181
18011,Boone,Indiana,Others,2340
18011,Boone,Indiana,Republican,19654
19015,Boone,Iowa,Democrats,5541
19015,Boone,Iowa,Others,1171
19015,Boone,Iowa,Republican,7484
21015,Boone,Kentucky,Democrats,15026
21015,Boone,Kentucky,Others,3510
21015,Boone,Kentucky,Republican,39082
29019,Boone,Missouri,Democrats,41072
29019,Boone,Missouri,Others,6094
